siteID
ARM
BON
BUE
DMW
EIA
GES
GOS
GRE
GUT
HOE
INH
ISB
JUD
KAL
MAR
MCC
MCN
MQW
MRS
MUG
NIR
NYK
POW
RDM
RHO
ROD
SER
SLO
SME
SMF
SMI
SPI
STN
STT
WAT
WHI
WOR
